src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
27.123.42.204,192.168.31.160,443,59437,6,176.39300179481506,56,31391,560.5535714285714,574.9956496618927,Non-VPN
192.168.31.160,192.168.31.1,50959,53,17,3.2454450130462646,7,580,82.85714285714286,7.159979477795239,Non-VPN
192.168.31.160,192.168.31.1,57972,53,17,0.702347993850708,3,253,84.33333333333333,4.714045207910316,Non-VPN
192.168.31.1,192.168.31.160,53,52290,17,0.0,1,208,208.0,0.0,Non-VPN
192.168.31.160,207.65.33.90,59231,443,6,90.23889994621275,3,165,55.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,64669,17,0.0,1,137,137.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,52402,17,955.5784740447998,2,279,139.5,9.5,Non-VPN
192.168.31.1,192.168.31.160,53,50959,17,3.201745986938477,6,1084,180.66666666666663,64.21491692399482,Non-VPN
192.168.31.1,192.168.31.160,53,57972,17,0.6863439083099365,2,510,255.0,52.0,Non-VPN
192.168.31.160,27.123.42.204,59444,443,6,85.95470404624939,10,2689,268.9,425.4462245689812,Non-VPN
207.65.33.90,192.168.31.160,443,59231,6,187.43644189834595,13,1014,78.0,18.97366596101028,Non-VPN
27.123.42.204,192.168.31.160,443,59444,6,85.89614295959473,14,6389,456.3571428571428,499.656254287865,Non-VPN
192.168.31.160,150.171.27.10,59447,443,6,90.42446804046632,30,5082,169.4,274.31278983428143,Non-VPN
150.171.27.10,192.168.31.160,443,59447,6,127.57710099220276,42,36998,880.9047619047619,575.7891400389974,Non-VPN
192.168.31.160,150.171.27.10,59448,443,6,85.44989490509033,11,3945,358.6363636363636,486.2343753464938,Non-VPN
150.171.27.10,192.168.31.160,443,59448,6,85.403559923172,15,7490,499.3333333333333,553.5646504449343,Non-VPN
192.168.31.160,192.168.31.1,52247,53,17,2.4107961654663086,4,332,83.0,7.7781745930520225,Non-VPN
192.168.31.160,192.168.31.1,64578,53,17,2.385861873626709,4,328,82.0,2.0,Non-VPN
192.168.31.1,192.168.31.160,53,52247,17,2.402585983276367,4,771,192.75,59.60442517129077,Non-VPN
192.168.31.1,192.168.31.160,53,64578,17,2.3681859970092773,4,793,198.25,87.13315958921724,Non-VPN
192.168.31.160,192.168.31.1,57627,53,17,2189.71307015419,4,314,78.5,1.6583123951777,Non-VPN
192.168.31.1,192.168.31.160,53,57627,17,2189.7515199184418,3,637,212.33333333333331,57.33139531608217,Non-VPN
192.168.31.160,34.36.209.34,51363,443,6,45.03994202613831,2,110,55.0,0.0,Non-VPN
34.36.209.34,192.168.31.160,443,51363,6,45.04040098190308,2,132,66.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,52053,53,17,3.57841420173645,6,530,88.33333333333333,5.527707983925667,Non-VPN
192.168.31.160,192.168.31.1,62209,53,17,3.5780060291290283,6,536,89.33333333333333,5.821416398857661,Non-VPN
192.168.31.1,192.168.31.160,53,62209,17,3.7197868824005127,6,1493,248.83333333333331,19.760369992037656,Non-VPN
192.168.31.1,192.168.31.160,53,52053,17,3.6750760078430176,6,1494,249.0,21.42428528562855,Non-VPN
