Fold,Accuracy,Macro_F1
1,0.9542936288088643,0.8511647083075655
2,0.957004160887656,0.8601672912456754
3,0.9528432732316228,0.8500048950022028
4,0.9694868238557559,0.895225639399704
5,0.9583911234396671,0.8615520507962517
