src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size
192.168.31.1,192.168.31.160,53,53515,17,1.4081218242645264,3,520,173.33333333333334,28.58126814696802
172.104.35.204,192.168.31.160,443,59408,6,0.4195289611816406,3,186,62.0,11.313708498984761
192.168.31.160,172.104.35.204,59408,443,6,0.3008401393890381,3,162,54.0,0.0
192.168.31.160,27.123.42.204,59436,443,6,0.3395378589630127,10,2381,238.1,391.25706383399654
192.168.31.160,27.123.42.204,59437,443,6,47.20448613166809,27,4415,163.5185185185185,263.4600778486703
192.168.31.160,192.168.31.1,52290,53,17,0.09815406799316406,2,152,76.0,0.0
192.168.31.160,192.168.31.1,64669,53,17,0.10795998573303223,2,156,78.0,0.0
192.168.31.160,192.168.31.1,52402,53,17,955.6512498855591,3,229,76.33333333333333,2.357022603955158
27.123.42.204,192.168.31.160,443,59436,6,0.18519377708435059,12,6203,516.9166666666666,515.4923954067822
27.123.42.204,192.168.31.160,443,59437,6,176.39300179481506,56,31391,560.5535714285714,574.9956496618927
192.168.31.160,192.168.31.1,50959,53,17,3.2454450130462646,7,580,82.85714285714286,7.159979477795239
192.168.31.160,192.168.31.1,57972,53,17,0.702347993850708,3,253,84.33333333333333,4.714045207910316
192.168.31.1,192.168.31.160,53,52290,17,0.0,1,208,208.0,0.0
192.168.31.160,207.65.33.90,59231,443,6,90.23889994621277,3,165,55.0,0.0
192.168.31.1,192.168.31.160,53,64669,17,0.0,1,137,137.0,0.0
192.168.31.1,192.168.31.160,53,52402,17,955.5784740447998,2,279,139.5,9.5
192.168.31.1,192.168.31.160,53,50959,17,3.2017459869384766,6,1084,180.66666666666666,64.21491692399482
192.168.31.1,192.168.31.160,53,57972,17,0.6863439083099365,2,510,255.0,52.0
192.168.31.160,27.123.42.204,59444,443,6,85.95470404624939,10,2689,268.9,425.4462245689812
207.65.33.90,192.168.31.160,443,59231,6,187.43644189834595,13,1014,78.0,18.973665961010276
27.123.42.204,192.168.31.160,443,59444,6,85.89614295959473,14,6389,456.35714285714283,499.656254287865
192.168.31.160,150.171.27.10,59447,443,6,90.42446804046631,30,5082,169.4,274.31278983428143
150.171.27.10,192.168.31.160,443,59447,6,127.57710099220276,42,36998,880.9047619047619,575.7891400389974
192.168.31.160,150.171.27.10,59448,443,6,85.44989490509033,11,3945,358.6363636363636,486.2343753464938
150.171.27.10,192.168.31.160,443,59448,6,85.403559923172,15,7490,499.3333333333333,553.5646504449343
192.168.31.160,192.168.31.1,52247,53,17,2.4107961654663086,4,332,83.0,7.7781745930520225
192.168.31.160,192.168.31.1,64578,53,17,2.385861873626709,4,328,82.0,2.0
192.168.31.1,192.168.31.160,53,52247,17,2.402585983276367,4,771,192.75,59.604425171290764
192.168.31.1,192.168.31.160,53,64578,17,2.3681859970092773,4,793,198.25,87.13315958921724
192.168.31.160,192.168.31.1,57627,53,17,2189.71307015419,4,314,78.5,1.6583123951777
192.168.31.1,192.168.31.160,53,57627,17,2189.7515199184418,3,637,212.33333333333334,57.33139531608217
192.168.31.160,34.36.209.34,51363,443,6,45.039942026138306,2,110,55.0,0.0
34.36.209.34,192.168.31.160,443,51363,6,45.040400981903076,2,132,66.0,0.0
192.168.31.160,192.168.31.1,52053,53,17,3.57841420173645,6,530,88.33333333333333,5.527707983925667
192.168.31.160,192.168.31.1,62209,53,17,3.5780060291290283,6,536,89.33333333333333,5.821416398857661
192.168.31.1,192.168.31.160,53,62209,17,3.7197868824005127,6,1493,248.83333333333334,19.760369992037656
192.168.31.1,192.168.31.160,53,52053,17,3.6750760078430176,6,1494,249.0,21.42428528562855
192.168.31.160,52.168.117.169,59457,443,6,47.15356683731079,17,4261,250.64705882352942,352.25441026362324
192.168.31.160,34.107.148.139,59298,443,6,45.04032278060913,2,110,55.0,0.0
34.107.148.139,192.168.31.160,443,59298,6,45.06952214241028,2,132,66.0,0.0
192.168.31.160,52.168.117.169,59458,443,6,79.80959916114807,13,3157,242.84615384615384,366.4173421647142
52.168.117.169,192.168.31.160,443,59457,6,126.65858602523804,19,8129,427.8421052631579,537.6023048938191
192.168.31.160,103.180.115.6,59187,443,6,30.023043155670166,3,163,54.333333333333336,0.4714045207910317
103.180.115.6,192.168.31.160,443,59187,6,30.023022890090942,6,399,66.5,14.739402972983676
52.168.117.169,192.168.31.160,443,59458,6,79.82419395446777,15,7477,498.46666666666664,578.9585899603604
192.168.31.160,35.190.75.32,59305,443,6,45.04295516014099,2,110,55.0,0.0
35.190.75.32,192.168.31.160,443,59305,6,45.03594779968262,2,132,66.0,0.0
192.168.31.160,52.168.117.169,59459,443,6,49.040611028671265,37,20990,567.2972972972973,516.8067684721644
192.168.31.160,52.168.117.169,59461,443,6,0.8468928337097168,8,2916,364.5,443.64456493909626
52.168.117.169,192.168.31.160,443,59459,6,124.48917484283447,33,10298,312.06060606060606,456.0231878337515
192.168.31.160,52.168.117.169,59462,443,6,0.7993290424346924,7,2914,416.2857142857143,463.58624233429606
192.168.31.160,172.240.45.96,59299,443,6,45.29626393318176,2,110,55.0,0.0
192.168.31.160,52.168.117.169,59464,443,6,78.08349990844727,15,3289,219.26666666666668,346.3727215330651
192.168.31.160,69.90.254.78,59291,443,6,73.50477814674377,4,218,54.5,0.5
52.168.117.169,192.168.31.160,443,59461,6,0.6772041320800781,11,7084,644.0,614.0371620379636
52.168.117.169,192.168.31.160,443,59462,6,0.6352219581604004,11,7084,644.0,614.0371620379636
172.240.45.96,192.168.31.160,443,59299,6,377.31692600250244,6,348,58.0,5.656854249492381
52.168.117.169,192.168.31.160,443,59464,6,78.09923791885376,15,7477,498.46666666666664,578.9585899603604
69.90.254.78,192.168.31.160,443,59291,6,73.49544215202332,6,411,68.5,13.683932183404009
192.168.31.160,192.168.31.1,63587,53,17,0.10388803482055664,2,178,89.0,0.0
192.168.31.160,192.168.31.1,63305,53,17,0.10384011268615723,2,184,92.0,0.0
192.168.31.160,192.168.31.1,58061,53,17,0.10382699966430664,2,184,92.0,0.0
192.168.31.160,192.168.31.1,51722,53,17,0.10367608070373535,2,184,92.0,0.0
