Model,Accuracy_Mean,Accuracy_Std,MacroF1_Mean,MacroF1_Std
Random Forest,0.9584038020447132,0.00587546650555512,0.8636229169502798,0.016465839706600278
Logistic Regression,0.40626438349322463,0.011954759289611087,0.3548896003653673,0.0089018956984623
SVM,0.4034912267895082,0.010734609228429524,0.3532101010019567,0.008805198693897827
XGBoost,0.9694945078588141,0.005620584831914539,0.8937965786436755,0.018208632023254016
